Country Name,Country Code,Indicator Name,Indicator Code,Attribute,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Base Year
Tuvalu,869,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,456787.1624,7197486.134,2475839.318,-1277399.255,-1919543.415,-1925040.966,-1855537.499,-1135555.016,-738464.681,
Vanuatu,846,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-26369093.26,-2132445.101,-81558564.69,-128756813.2,-175271082.2,-168207959.7,-112717554.2,-94675111.67,-59268560.65,
Mongolia,948,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-3192046255,-1404951238,-567120601.8,-1241210775,-2142667636,-2633949076,-2719126468,-1937420157,-1458805738,
Asia,229,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,1.307755856,2.013601848,2.802086128,2.551669115,1.887466776,1.627336818,1.423582207,1.257052583,1.096382459,
Australia,193,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-3.371392812,-2.949929753,-4.731813145,-3.48959578,-3.938190623,-4.082271825,-4.022067312,-4.017034133,-4.024684868,
Japan,158,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,0.935939119,0.79375019,3.287410554,3.722766036,3.34929312,3.338233788,3.159157377,3.325240204,3.301483098,
New Zealand,196,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-3.161851318,-3.132199464,-3.247745807,-3.002586528,-3.539132787,-3.843227563,-4.016437539,-4.085857813,-4.128099258,
"China, P.R.: Mainland",924,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,1.538150138,2.627803305,2.956674508,2.378031309,1.62227472,1.36456389,1.145397896,0.927907731,0.766702631,
"China, P.R.: Hong Kong",532,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,1.505091183,1.300274775,3.114482188,2.814172472,2.915818432,3.161751487,3.202141181,3.324667282,3.358863016,
"Korea, Republic of",542,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,6.215371167,5.978245198,7.68363207,7.235513436,5.903336058,5.626687377,5.560512766,5.329718262,5.168176132,
Taiwan Province of China,528,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,10.37022427,12.03912677,14.56293265,15.00552162,14.35821125,14.08234475,13.90990166,13.92202336,13.88447189,
South Asia,9502,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-1.506538365,-1.163061369,-0.941386568,-1.253764081,-1.905461848,-2.160162565,-2.161158531,-2.171250743,-2.103737545,
Bangladesh,513,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,1.176090335,0.924355023,0.729431651,-0.057834379,-0.735145145,-1.095764059,-1.448333251,-1.760290885,-2.031730972,
India,534,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-1.731262306,-1.311491655,-1.065411426,-1.420148178,-2.001599082,-2.186364467,-2.149434722,-2.178975895,-2.17598898,
Sri Lanka,524,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-3.772859477,-2.654132862,-2.472125063,-1.497348466,-2.822122472,-3.058756925,-3.260698963,-3.332746737,-3.299521357,
Nepal,558,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,3.293389381,4.543520682,5.007444261,3.929008867,-0.854663375,-3.217228228,-3.677702524,-3.619316287,-4.20364952,
